Data from Daily Inventory of Electricity Consumption,,,,,,,,,,,,,,,,,,,,,
Date,Main Meter – Meralco (kW),SteerHub (kWh),CEAFA (kWh),Automotive (kWh),CET (kWh),RGR (kWh),SSC (kWh),GYM (kWh),,,,,,,,,,,,,
"January 17, 2023",14.4,147.567,647.754,44.316,0.977,0.395,66.403,0.491,,,,,,,,,,,,,
"January 18, 2023",28.8,43.987,1296.467,32.375,0.102,0.182,69.358,0.321,,,,,,,,,,,,,
"January 19, 2023",23.3,56.68,1646.544,52.952,0.008,0.157,64.218,0.192,,,,,,,,,,,,,
"January 20, 2023",20,135.56,1261.773,58.202,0.434,0.827,30.185,0.309,,,,,,,,,,,,,
"January 21, 2023",8.9,135.206,1501.108,52.848,0.093,0.042,79.843,0.975,,,,,,,,,,,,,
"January 22, 2023",8.9,122.584,1572.627,20.063,0.748,0.419,23.509,0.411,,,,,,,,,,,,,
"January 23, 2023",6.5,131.032,850.888,45.456,0.915,0.168,14.291,0.445,,,,,,,,,,,,,
"January 24, 2023",26.7,106.836,833.249,22.045,0.434,0.879,67.397,0.577,,,,,,,,,,,,,
"January 25, 2023",20,60.288,1272.079,30.304,0.259,0.557,48.038,0.983,,,,,,,,,,,,,
"January 26, 2023",22.7,75.311,1052.131,22.381,0.434,0.231,77.928,0.242,,,,,,,,,,,,,
"January 27, 2023",5.5,49.056,1523.847,44.152,0.723,0.502,40.672,0.681,,,,,,,,,,,,,
"January 28, 2023",29.2,165.352,1590.025,47.464,0.009,0.731,23.462,0.716,,,,,,,,,,,,,
"January 29, 2023",25.8,113.343,988.764,24.58,0.589,0.958,76.915,0.607,,,,,,,,,,,,,
"January 30, 2023",10.3,84.136,860.558,35.354,0.613,0.22,53.913,0.089,,,,,,,,,,,,,
"January 31, 2023",9.5,93.921,1458.578,38.249,0.638,0.886,25.136,0.677,,,,,,,,,,,,,
"February 01, 2023",9.6,171.565,902.287,34.762,0.242,0.934,67.631,0.064,,,,,,,,,,,,,
"February 02, 2023",12.6,44.536,1504.876,24.841,0.714,0.916,50.889,0.596,,,,,,,,,,,,,
"February 03, 2023",18.1,113.797,1066.112,36.758,0.091,0.635,58.345,0.74,,,,,,,,,,,,,
"February 04, 2023",15.8,100.942,1334.305,50.047,0.199,0.63,46.872,0.211,,,,,,,,,,,,,
"February 05, 2023",12.3,117.833,705.089,22.84,0.877,0.403,76.297,0.842,,,,,,,,,,,,,
"February 06, 2023",20.3,22.898,1286.245,23.207,0.739,0.752,76.365,0.03,,,,,,,,,,,,,
"February 07, 2023",8.5,159.54,1096.944,34.191,0.014,0.531,66.751,0.844,,,,,,,,,,,,,
"February 08, 2023",12.3,169.139,1245.269,57.669,0.248,0.677,18.432,0.46,,,,,,,,,,,,,
"February 09, 2023",14.2,110.421,784.816,46.743,0.214,0.428,77.108,0.218,,,,,,,,,,,,,
"February 10, 2023",16.4,131.464,1410.561,47.147,0.271,0.731,63.681,0.134,,,,,,,,,,,,,
"February 11, 2023",24.6,167.6,1549.077,34.477,0.248,0.824,65.762,0.953,,,,,,,,,,,,,
"February 12, 2023",10,133.158,838.414,43.746,0.063,0.146,39.039,0.073,,,,,,,,,,,,,
"February 13, 2023",17.9,44.406,705.286,20.405,0.459,0.833,80.342,0.199,,,,,,,,,,,,,
"February 14, 2023",19.8,112.206,626.002,45.444,0.733,0.54,68.03,0.348,,,,,,,,,,,,,
"February 15, 2023",6.2,117.074,1306.169,56.531,0.607,0.845,19.007,0.62,,,,,,,,,,,,,
"February 16, 2023",20.2,87.861,1267.803,44.503,0.673,0.431,42.622,0.545,,,,,,,,,,,,,
"February 17, 2023",9.3,137.831,1201.367,54.948,0.081,0.379,80.91,0.126,,,,,,,,,,,,,
"February 18, 2023",6.6,169.499,855.142,48.959,0.951,0.915,13.776,0.29,,,,,,,,,,,,,
"February 19, 2023",28.7,168.091,1029.997,24.822,0.838,0.251,86.913,0.239,,,,,,,,,,,,,
"February 20, 2023",29.1,92.134,1253.924,56.098,0.805,0.844,64.333,0.214,,,,,,,,,,,,,
"February 21, 2023",25.2,38.118,1146.444,22.658,0.823,0.484,60.51,0.411,,,,,,,,,,,,,
"February 22, 2023",12.6,177.575,1686.564,41.359,0.933,0.514,31.645,0.704,,,,,,,,,,,,,
"February 23, 2023",7.4,154.224,750.084,25.685,0.544,0.308,29.903,0.217,,,,,,,,,,,,,
"February 24, 2023",22.1,39.946,1364.659,20.468,0.2,0.573,85.365,0.367,,,,,,,,,,,,,
"February 25, 2023",16,167.335,1044.751,36.881,0.617,0.325,33.862,0.391,,,,,,,,,,,,,
"February 26, 2023",8.1,159.183,1071.02,31.802,0.743,0.039,72.04,0.976,,,,,,,,,,,,,
"February 27, 2023",17.4,103.014,1389.358,39.44,0.738,0.272,41.45,0.955,,,,,,,,,,,,,
"February 28, 2023",5.9,114.604,1361.68,43.088,0.521,0.006,21.14,0.8,,,,,,,,,,,,,
"March 01, 2023",27.7,83.84,1690.382,21.75,0.068,0.978,10.857,0.242,,,,,,,,,,,,,
"March 02, 2023",11.5,28.762,741.234,24.92,0.371,0.966,53.541,0.068,,,,,,,,,,,,,
"March 03, 2023",21.6,73.632,714.521,42.346,0.921,0.395,88.062,0.317,,,,,,,,,,,,,
"March 04, 2023",12.8,148.457,1396.773,33.727,0.584,0.728,39.531,0.267,,,,,,,,,,,,,
"March 05, 2023",18,20.741,1236.226,49.167,0.538,0.346,38.575,0.506,,,,,,,,,,,,,
"March 06, 2023",18.7,73.36,901.577,46.092,0.269,0.671,37.527,0.778,,,,,,,,,,,,,
