Data from Daily Inventory of Solid Waste Generation ,,,,
Date,Type of Solid Wastes,,,Total Solid Waste per day (kg)
,Residuals (kg),Recyclables (kg),HazWaste (kg),
"January 18, 2023",27,,5,32
"January 20, 2023",85,,16,101
"January 24, 2023",93,,29,122
"January 25, 2023",110,,5,115
"January 27, 2023",152,,7,159
"January 30, 2023",152,,5,157
"January 31, 2023",170,,8,178
"February 01, 2023",158,5,0,163 kg
"February 02, 2023",149,9,0,158 kg
"February 03, 2023",146,10,0,156 kg
"February 06, 2023",132,23,"2pcs spray 
paint  155 kg and",2
"February 07, 2023",148,6,0,154 kg
"February 08, 2023",155,7,0,162 kg
"February 09, 2023",182,8,0,190 kg
"February 10, 2023",192,8,0,200 kg
"February 13, 2023",186,16,0,202 kg
"February 14, 2023",189,10,0,199 kg
"February 15, 2023",253,9,3,265 kg
"February 16, 2023",199,24,"8 pcs spray 
paint  223 kg and",8
"February 17, 2023",192,15,27,234 kg
"February 18, 2023",11,0,0,11 kg
"February 20, 2023",160,51,0,211 kg
"February 21, 2023",195,15,0,210 kg
"February 22, 2023",176,0,7,183 kg
"February 23, 2023",199,0,9,208 kg
"February 27, 2023",187,0,5,192 kg
"February 28, 2023",188,0,5,193 kg
"March 01, 2023",252,10,4,266
"March 02, 2023",180,14,1,195
"March 03, 2023",204,27,17,248
"March 04, 2023",,-,-,0
"March 05, 2023",,-,-,0
"March 06, 2023",52,4,-,56
"March 07, 2023",100,3,-,103
"March 08, 2023",235,18,-,253
"March 09, 2023",189,12,-,201
"March 10, 2023",217,7,-,224
"March 11, 2023",,-,-,0
"March 12, 2023",,-,-,0
"March 13, 2023",218,45,8,271
"March 14, 2023",189,8,,197
"March 15, 2023",227,14,3,244
"March 16, 2023",207,16,-,223
"March 17, 2023",365,15,-,380
"March 18, 2023",,-,-,0
"March 19, 2023",,-,-,0
"March 20, 2023",166,10,-,176
"March 21, 2023",158,15,-,173
"March 22, 2023",163,12,-,175
"March 23, 2023",174,15,-,189
"March 24, 2023",202,31,-,233
"March 25, 2023",,-,-,0
"March 26, 2023",,-,-,0
"March 27, 2023",195,36,-,231
"March 28, 2023",186,10,-,196
"March 29, 2023",173,189,-,362
"March 30, 2023",185,51,-,236
"March 31, 2023",179,22,-,201
"April 01, 2023",,-,-,0
"April 02, 2023",,-,-,0
"April 03, 2023",171,10,,181
"April 04, 2023",147,-,-,147
"April 05, 2023",173,13,-,186
"April 06, 2023",150,-,-,150
"April 07, 2023",,-,-,0
"April 08, 2023",,-,-,0
"April 09, 2023",,-,-,0
"April 10, 2023",,-,-,0
"April 11, 2023",169,9,-,178
"April 12, 2023",176,11,-,187
"April 13, 2023",196,11,-,207
"April 14, 2023",192,12,-,204
"April 15, 2023",,-,-,0
"April 16, 2023",,-,-,0
"April 17, 2023",148,15,-,163
"April 18, 2023",196,11,-,207
"April 19, 2023",225,9,-,234
"April 20, 2023",219,10,-,229
"April 21, 2023",,-,-,0
"April 22, 2023",,-,-,0
"April 23, 2023",,-,-,0
"April 24, 2023",242,9,-,251
"April 25, 2023",241,13,4,258
"April 26, 2023",238,11,-,249
"April 27, 2023",213,11,2,226
"April 28, 2023",232,11,-,243
"April 29, 2023",,-,-,0
"April 30, 2023",,-,-,0
"May 01, 2023",,-,-,0
"May 02, 2023",182,25,-,207
"May 03, 2023",233,13,-,246
"May 04, 2023",230,15,-,245
"May 05, 2023",254,15,-,269
"May 06, 2023",,-,-,0
"May 07, 2023",,-,-,0
"May 08, 2023",253,15,-,268
"May 09, 2023",290,23,-,313
"May 10, 2023",269,17,-,286
"May 11, 2023",262,20,-,282
"May 12, 2023",279,31,-,310
"May 13, 2023",,-,-,0
"May 14, 2023",,-,-,0
"May 15, 2023",198,8,-,206
"May 16, 2023",222,17,-,239
"May 17, 2023",233,19,-,252
"May 18, 2023",227,22,-,249
"May 19, 2023",240,24,-,264
"May 21, 2023",,-,-,0
"May 22, 2023",225,23,3.5,251.5
"May 23, 2023",238,18,-,256
"May 24, 2023",160,23,-,183
"May 25, 2023",175,16,-,191
"May 26, 2023",151,18,-,169
"May 28, 2023",,-,-,0
"May 29, 2023",155,6,-,161
"May 30, 2023",129,11,-,140
"May 31, 2023",82,5,-,87
"June 01, 2023",97,11,,108
"June 02, 2023",92,10,2,104
"June 06, 2023",115,5,-,120
"June 07, 2023",87,9,-,96
"June 08, 2023",21,10,-,31
"June 09, 2023",116,6,-,122
"June 13, 2023",127,9,-,136
"June 14, 2023",101,-,-,101
"June 15, 2023",111,11,-,122
"June 16, 2023",136,8,-,144
"June 19, 2023",130,10,-,140
"June 20, 2023",114,10,-,124
"June 21, 2023",126,11,-,137
"June 22, 2023",136,13,-,149
"June 23, 2023",126,-,-,126
"June 26, 2023",124,20,-,144
"June 27, 2023",144,20,2,166
"June 29, 2023",155,8,-,163
"June 30, 2023",158,24,2.5,184.5
"July 03, 2023",136,9,-,145
"July 04, 2023",154,13,-,167
"July 05, 2023",132,8,-,140
"July 06, 2023",172,,-,172
"July 07, 2023",85,11,-,96
"July 10, 2023",137,13,-,150
"July 11, 2023",158,18,-,176
"July 12, 2023",199,13,-,212
"July 13, 2023",196,8,-,204
"July 14, 2023",189,12,-,201
"July 17, 2023",165,10,-,175
"July 18, 2023",133,9,-,142
"July 20, 2023",182,6,-,188
"July 21, 2023",147,7,-,154
"July 24, 2023",144,7,-,151
"July 25, 2023",159,9,-,168
"July 26, 2023",92,-,-,92
"July 27, 2023",93,-,-,93
"July 28, 2023",102,12,-,114
"July 31, 2023",2,-,-,2
"August 01, 2023",78,-,-,78
"August 02, 2023",62,-,-,62
"August 03, 2023",79,-,-,79
"August 04, 2023",60,-,-,60
"August 07, 2023",107,6,-,113
"August 08, 2023",84,13,-,97
"August 09, 2023",97,5,-,102
"August 10, 2023",94,5,-,99
