Data from Daily Inventory of Electricity Consumption,,,,,,,,,,,,,,,
Date,Deep Well 1 (m³),Prime Water (m³),Deep Well 2 (m³),Deep Well 3 (m³),Deep Well 4 (m³),Total Water Consumption (m³),,,,,,,,,
"January 17, 2023",46.2362,24.9324,8.521,25.1976,19.5401,124.4273,,,,,,,,,
"January 18, 2023",63.5214,8.7479,15.5978,17.7343,2.0379,107.6393,,,,,,,,,
"January 19, 2023",56.9598,10.7313,19.4168,30.5948,0.1664,117.8691,,,,,,,,,
"January 20, 2023",52.9598,23.0563,15.2193,33.8765,8.6717,133.7836,,,,,,,,,
"January 21, 2023",39.6806,23.0009,17.8303,30.53,1.8525,112.8943,,,,,,,,,
"January 22, 2023",39.6798,21.0287,18.6105,10.0391,14.9677,104.3258,,,,,,,,,
"January 23, 2023",36.7425,22.3487,10.737,25.91,18.291,114.0292,,,,,,,,,
"January 24, 2023",60.9853,18.5681,10.5445,11.2784,8.6804,110.0567,,,,,,,,,
"January 25, 2023",53.0335,11.295,15.3318,16.4402,5.1742,101.2747,,,,,,,,,
"January 26, 2023",56.2422,13.6424,12.9323,11.4881,8.6881,102.9931,,,,,,,,,
"January 27, 2023",35.6175,9.5399,18.0783,25.0949,14.469,102.7996,,,,,,,,,
"January 28, 2023",64.0973,27.7113,18.8003,27.1647,0.1811,137.9547,,,,,,,,,
"January 29, 2023",59.9733,19.5848,12.2411,12.8622,11.7891,116.4505,,,,,,,,,
"January 30, 2023",41.3702,15.0213,10.8424,19.596,12.2658,99.0957,,,,,,,,,
"January 31, 2023",40.4547,16.5501,17.3663,21.4059,12.7538,108.5308,,,,,,,,,
"February 01, 2023",40.5021,28.6821,11.2977,19.2263,4.8404,104.5486,,,,,,,,,
"February 02, 2023",44.1273,8.8338,17.8714,13.0256,14.2811,98.1392,,,,,,,,,
"February 03, 2023",50.7427,19.6557,13.0849,20.4737,1.8278,105.7848,,,,,,,,,
"February 04, 2023",47.9584,17.6472,16.0106,28.7795,3.9854,114.3811,,,,,,,,,
"February 05, 2023",43.7369,20.2864,9.1464,11.7752,17.5494,102.4943,,,,,,,,,
"February 06, 2023",53.3556,5.4528,15.4863,12.0045,14.7745,101.0737,,,,,,,,,
"February 07, 2023",39.1848,26.8031,13.4212,18.8693,0.2749,98.5533,,,,,,,,,
"February 08, 2023",43.7643,28.303,15.0393,33.5431,4.9675,125.6172,,,,,,,,,
"February 09, 2023",45.9909,19.1283,10.0162,26.7143,4.2881,106.1378,,,,,,,,,
"February 10, 2023",48.6821,22.4163,16.8425,26.9667,5.4161,120.3237,,,,,,,,,
"February 11, 2023",58.5553,28.0625,18.3536,19.048,4.9512,128.9706,,,,,,,,,
"February 12, 2023",40.9902,22.681,10.6009,24.8415,1.2505,100.3641,,,,,,,,,
"February 13, 2023",50.427,8.8135,9.1486,10.2533,9.1788,87.8212,,,,,,,,,
"February 14, 2023",52.7724,19.4072,8.2837,25.9024,14.6547,121.0204,,,,,,,,,
"February 15, 2023",36.3935,20.1679,15.7037,32.8322,12.1346,117.2319,,,,,,,,,
"February 16, 2023",53.2263,15.6033,15.2851,25.3143,13.4574,122.8864,,,,,,,,,
"February 17, 2023",40.1157,23.4111,14.5604,31.8425,1.623,111.5527,,,,,,,,,
"February 18, 2023",36.9515,28.3592,10.7834,28.0993,19.0298,123.2232,,,,,,,,,
"February 19, 2023",63.4666,28.1392,12.6909,13.014,16.7698,134.0805,,,,,,,,,
"February 20, 2023",63.969,16.271,15.1337,32.5613,16.1018,144.0368,,,,,,,,,
"February 21, 2023",59.2519,7.831,13.9612,11.6611,16.4597,109.1649,,,,,,,,,
"February 22, 2023",44.1384,29.621,19.8534,23.3492,18.6542,135.6162,,,,,,,,,
"February 23, 2023",37.9302,25.9725,9.6373,13.5534,10.8851,97.9785,,,,,,,,,
"February 24, 2023",55.527,8.1166,16.3417,10.2927,4.0056,94.2836,,,,,,,,,
"February 25, 2023",48.2046,28.021,12.8518,20.5509,12.3357,121.964,,,,,,,,,
"February 26, 2023",38.6611,26.7474,13.1384,17.376,14.8576,110.7805,,,,,,,,,
"February 27, 2023",49.8553,17.971,16.6112,22.15,14.7583,121.3458,,,,,,,,,
"February 28, 2023",36.0317,19.7819,16.3092,24.43,10.429,106.9818,,,,,,,,,
"March 01, 2023",62.2796,14.9751,19.8951,11.0935,1.3692,109.6125,,,,,,,,,
"March 02, 2023",42.7634,6.369,9.5407,13.0751,7.4223,79.1705,,,,,,,,,
"March 03, 2023",54.8757,13.3799,9.2493,23.9661,18.4153,119.8863,,,,,,,,,
"March 04, 2023",44.3513,25.0713,16.6921,18.5792,11.689,116.3829,,,,,,,,,
"March 05, 2023",50.602,5.1158,14.9406,28.2293,10.7666,109.6543,,,,,,,,,
"March 06, 2023",51.4013,13.3375,11.2899,26.3073,5.3771,107.7131,,,,,,,,,
"March 07, 2023",40.5456,14.9542,8.953,31.1401,7.369,102.9619,,,,,,,,,
"March 08, 2023",64.0875,18.4349,9.0279,27.3123,17.9069,136.7695,,,,,,,,,
"March 09, 2023",58.254,27.9964,18.7303,20.7483,13.3293,139.0583,,,,,,,,,
"March 10, 2023",63.185,13.6586,10.3024,26.8242,15.7477,129.7179,,,,,,,,,
"March 11, 2023",61.8448,13.6738,11.8805,16.8845,9.0869,113.3705,,,,,,,,,
"March 12, 2023",52.937,23.4375,10.7199,17.6578,12.6049,117.3571,,,,,,,,,
"March 13, 2023",62.6562,16.3054,12.26,29.7246,4.9677,125.9139,,,,,,,,,
"March 14, 2023",37.6548,10.6151,8.8331,21.1605,14.1092,92.3727,,,,,,,,,
"March 15, 2023",40.8795,16.311,14.2287,29.9595,8.552,109.9307,,,,,,,,,
"March 16, 2023",36.3568,8.5214,8.8114,30.5606,8.8509,93.1011,,,,,,,,,
"March 17, 2023",44.7599,9.4097,17.6043,31.4391,12.9864,116.1994,,,,,,,,,
"March 18, 2023",46.6603,17.4592,10.8045,32.9159,18.7256,126.5655,,,,,,,,,
"March 19, 2023",43.1405,15.4731,14.4801,20.7746,1.2801,95.1484,,,,,,,,,
"March 20, 2023",59.8621,27.8711,18.5609,17.9717,16.4949,140.7607,,,,,,,,,
"March 21, 2023",45.7026,14.0598,15.8105,24.555,5.8477,105.9756,,,,,,,,,
"March 22, 2023",43.428,19.5147,14.3955,19.2793,8.8784,105.4959,,,,,,,,,
"March 23, 2023",51.2809,20.8066,11.892,25.0269,0.4383,109.4447,,,,,,,,,
"March 24, 2023",39.2277,5.3274,11.996,27.6396,6.0209,90.2116,,,,,,,,,
"March 25, 2023",59.0659,21.5884,16.0338,27.2101,10.0526,133.9508,,,,,,,,,
"March 26, 2023",37.2365,9.4509,19.9297,19.3638,1.1235,87.1044,,,,,,,,,
"March 27, 2023",64.6066,29.0268,15.9421,14.1715,9.8219,133.5689,,,,,,,,,
"March 28, 2023",58.1673,8.7166,14.6934,20.7632,18.5422,120.8827,,,,,,,,,
"March 29, 2023",40.9615,15.3656,16.7678,13.5649,2.1079,88.7677,,,,,,,,,
"March 30, 2023",35.1657,7.1337,13.5825,32.2524,15.2888,103.4231,,,,,,,,,
"March 31, 2023",59.4638,29.9219,8.7217,18.6469,8.1934,124.9477,,,,,,,,,
"April 01, 2023",56.2057,17.5549,14.7476,13.8615,13.1035,115.4732,,,,,,,,,
"April 02, 2023",56.8702,19.8846,19.4915,10.6362,5.2047,112.0872,,,,,,,,,
"April 03, 2023",58.1381,6.6769,10.1036,26.1456,3.1898,104.254,,,,,,,,,
"April 04, 2023",37.2213,23.749,16.2801,25.9226,3.2093,106.3823,,,,,,,,,
"April 05, 2023",45.754,10.2476,10.4112,18.5151,1.4098,86.3377,,,,,,,,,
"April 06, 2023",38.4761,27.4514,14.4299,11.7928,3.7129,95.8631,,,,,,,,,
"April 07, 2023",60.8931,10.1285,9.1601,20.2407,13.2844,113.7068,,,,,,,,,
"April 08, 2023",53.6989,9.7672,13.4045,17.7804,17.6338,112.2848,,,,,,,,,
"April 09, 2023",44.9269,5.9137,17.074,26.928,16.2825,111.1251,,,,,,,,,
"April 10, 2023",36.9068,16.8017,12.1709,25.1445,13.7027,104.7266,,,,,,,,,
"April 11, 2023",44.3295,19.121,15.9789,19.1148,2.2086,100.7528,,,,,,,,,
"April 12, 2023",44.7555,6.6427,17.5454,15.4473,5.7837,90.1746,,,,,,,,,
"April 13, 2023",56.8882,24.3882,19.1261,34.7009,6.1961,141.2995,,,,,,,,,
"April 14, 2023",54.1267,16.3322,10.8157,21.35,4.9991,107.6237,,,,,,,,,
"April 15, 2023",61.6164,18.1098,12.7918,27.2069,10.3001,130.025,,,,,,,,,
"April 16, 2023",49.1664,16.0191,9.829,13.5138,10.7111,99.2394,,,,,,,,,
"April 17, 2023",38.5878,15.0191,19.9098,22.1397,7.1377,102.7941,,,,,,,,,
"April 18, 2023",56.3973,18.991,19.124,10.6884,7.0758,112.2765,,,,,,,,,
"April 19, 2023",57.8236,8.881,14.4795,22.6364,16.5711,120.3916,,,,,,,,,
"April 20, 2023",51.8383,9.5482,18.1044,34.1004,15.7859,129.3772,,,,,,,,,
"April 21, 2023",58.129,26.5446,14.2515,19.6052,6.1559,124.6862,,,,,,,,,
"April 22, 2023",49.8139,28.6529,15.483,10.9749,18.2758,123.2005,,,,,,,,,
"April 23, 2023",50.682,14.3327,9.0695,10.7739,19.0563,103.9144,,,,,,,,,
"April 24, 2023",47.8262,11.7686,17.0632,19.6997,6.5349,102.8926,,,,,,,,,
"April 25, 2023",35.7626,21.1,9.5326,14.0006,7.0885,87.4843,,,,,,,,,
"April 26, 2023",38.2367,15.2184,17.9128,10.5838,10.1127,92.0644,,,,,,,,,
"April 27, 2023",35.9429,5.6347,17.3843,28.9053,18.8224,106.6896,,,,,,,,,
"April 28, 2023",54.0923,8.9038,16.5049,21.4631,17.5264,118.4905,,,,,,,,,
"April 29, 2023",44.4307,22.8993,8.4339,17.2311,2.0514,95.0464,,,,,,,,,
"April 30, 2023",50.2571,21.4731,11.6375,32.5021,7.8546,123.7244,,,,,,,,,
"May 01, 2023",62.227,5.6774,11.1574,12.9035,11.0674,103.0327,,,,,,,,,
"May 02, 2023",42.4788,10.5493,12.3216,33.898,10.0626,109.3103,,,,,,,,,
"May 03, 2023",47.3115,10.7769,9.0517,17.8492,3.8773,88.8666,,,,,,,,,
"May 04, 2023",57.6665,21.7973,19.2435,32.2101,17.1763,148.0937,,,,,,,,,
"May 05, 2023",41.8639,5.4928,14.6456,25.0736,13.5388,100.6147,,,,,,,,,
"May 06, 2023",37.3094,7.6027,11.6663,30.6677,16.7582,104.0043,,,,,,,,,
"May 07, 2023",43.6925,24.9979,12.7638,34.6003,17.1753,133.2298,,,,,,,,,
"May 08, 2023",39.8366,9.4636,13.3664,17.2101,14.9671,94.8438,,,,,,,,,
"May 09, 2023",62.8909,21.3187,15.2071,34.0284,8.7842,142.2293,,,,,,,,,
"May 10, 2023",59.2436,10.9546,14.1882,19.737,12.2109,116.3343,,,,,,,,,
"May 11, 2023",54.0021,7.486,19.0327,19.6378,3.2073,103.3659,,,,,,,,,
"May 12, 2023",61.1438,11.0793,13.9636,18.5097,13.4729,118.1693,,,,,,,,,
"May 13, 2023",59.1102,23.0567,19.9059,23.5352,3.5851,129.1931,,,,,,,,,
"May 14, 2023",40.5971,26.3924,18.2171,13.8536,13.879,112.9392,,,,,,,,,
"May 15, 2023",61.7768,25.7555,10.5021,23.8428,4.592,126.4692,,,,,,,,,
"May 16, 2023",51.1803,14.9296,19.1671,23.5426,2.351,111.1706,,,,,,,,,
"May 17, 2023",59.2232,21.7021,9.3964,29.0475,3.3057,122.6749,,,,,,,,,
"May 18, 2023",61.8827,10.1246,17.8094,30.8412,0.0398,120.6977,,,,,,,,,
"May 19, 2023",44.5401,12.3287,12.5675,21.011,14.3748,104.8221,,,,,,,,,
"May 20, 2023",38.3016,27.4084,18.5357,17.5583,14.648,116.452,,,,,,,,,
"May 21, 2023",41.8381,5.325,18.4167,16.4834,10.2987,92.3619,,,,,,,,,
"May 22, 2023",47.8132,7.1377,17.6711,14.8656,3.2273,90.7149,,,,,,,,,
"May 23, 2023",59.5404,10.1972,17.4804,11.4412,1.6711,100.3303,,,,,,,,,
